"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1","The Four's Restaurant & Sports Bar","(617) 830-1204","https://www.yellowpages.com/boston-ma/mip/the-fours-restaurant-sports-bar-2475158?lid=209428619","Restaurants,Caterers,Bars","http://www.thefours.com","","166 Canal St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"2","No Name Restaurant","(617) 229-6084","https://www.yellowpages.com/boston-ma/mip/no-name-restaurant-8648730?lid=1001715956847","Restaurants,Take Out Restaurants","http://nonamerestaurant.com","5","15 Fish Pier St E","Boston","MA","02210","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"3","Aria Trattoria","(617) 580-5141","https://www.yellowpages.com/boston-ma/mip/aria-trattoria-480202715?lid=1000380204864","Restaurants,Italian Restaurants","http://arianorthend.com/menu/","","253 Hanover St","Boston","MA","02113","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"4","The Four's Restaurant & Sports Bar","(617) 830-4504","https://www.yellowpages.com/boston-ma/mip/the-fours-restaurant-sports-bar-460711092?lid=1000273712008","Bars,Bar & Grills,Caterers,Restaurants","http://www.thefours.com","2","166 Canal St","Boston","MA","02114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"5","B&G Oysters","(617) 423-0550","https://www.yellowpages.com/boston-ma/mip/b-g-oysters-2650359?lid=2650359","Seafood Restaurants,American Restaurants","http://www.bandgoysters.com","31","550 Tremont St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"6","Morton's The Steakhouse","(617) 266-5858","https://www.yellowpages.com/boston-ma/mip/mortons-the-steakhouse-22589061?lid=22589061","Steak Houses,Restaurants","http://www.mortons.com","26","699 Boylston St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"7","Abe & Louie's","(617) 536-6300","https://www.yellowpages.com/boston-ma/mip/abe-louies-2198151?lid=2198151","Steak Houses,American Restaurants","http://www.abeandlouies.com","2","793 Boylston St","Boston","MA","02116","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"8","Ruth's Chris Steak House","(617) 742-8401","https://www.yellowpages.com/boston-ma/mip/ruths-chris-steak-house-7154837?lid=7154837","Steak Houses,Restaurants","","","45 School St Ste 1d","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"9","Island Creek Oyster Bar","(617) 532-5300","https://www.yellowpages.com/boston-ma/mip/island-creek-oyster-bar-460080280?lid=460080280","Seafood Restaurants,American Restaurants","http://www.islandcreekoysterbar.com","1","500 Commonwealth Ave","Boston","MA","02215","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
"10","The Oceanaire Seafood Room","(617) 742-2277","https://www.yellowpages.com/boston-ma/mip/the-oceanaire-seafood-room-455904020?lid=455904020","Seafood Restaurants","http://www.theoceanaire.com/Locations/Boston/Locations.aspx?utm_source=Yext&utm_medium=website&utm_campaign=Yext","","40 Court St","Boston","MA","02108","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=boston"
